trail_name,trail_url,region,length,elevation_gain,highest_point,rating,comment_date,comment_author,comment_text,label,apparent_temperature,snow_depth,snowfall,us_aqi,weather_code,wind_gusts_10m_max,precipitation_probability_max,date_hiked,trail_conditions,road_conditions,snow,bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",2 out of 5 stars,"Goat Lake — July 25, 2025",CascadeWanderer,Not hikeable in current conditions. The upper trail is an avalanche zone right now — we could see recent avalanche debris on the hillside across the valley. Road is open but please don't attempt this trail.,not_hikeable,41,9,0,30,73,45,74,2025-07-25,Trail passable with caution,Road suitable for all vehicles,Snow free,Some bugs
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",2 out of 5 stars,"Chain Lakes Loop — August 14, 2024",ClearCreekHiker,Not hikeable in current conditions. The upper trail is an avalanche zone right now — we could see recent avalanche debris on the hillside across the valley. Road is open but please don't attempt this trail.,not_hikeable,41,3,0,19,73,29,94,2024-08-14,Trail passable with caution,Road suitable for all vehicles,Snow free,Some bugs
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",5 out of 5 stars,"Annette Lake — February 10, 2024",OlympicPenHiker,Just got back from a wonderful day out here. Trail is completely clear of snow. Wildflowers are starting to come up near the upper meadows. Bring plenty of water as there are limited reliable sources right now.,hikeable,42,0,0,29,2,7,7,2024-02-10,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",5 out of 5 stars,"Franklin Falls — December 19, 2025",PNWPeakBagger,Wonderful hiking today. Trail opens up at the top with stunning 360 degree views and absolutely no snow in sight. Recommend starting early to beat the afternoon heat. Trail is well-maintained and signed.,hikeable,45,0,0,10,0,16,6,2025-12-19,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",2 out of 5 stars,"Franklin Falls — February 24, 2026",SnowpackSam,Heavy recent snowfall has completely covered the trail. We couldn't find the route above the TH. No other footprints. The road had a closure sign posted 3 miles before the TH. Save yourself the frustration and wait.,not_hikeable,31,56,24,31,85,47,76,2026-02-24,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,3 out of 5 stars,"Twin Falls — September 10, 2024",TrailBlazerPNW,Trail has some patchy snow starting around mile 2.5 near the ridgeline. Lower portions are clear and dry. Microspikes helpful but not required if you're careful. Beautiful conditions overall with just a hint of winter lingering.,modest_conditions,60,0,0,19,1,15,59,2024-09-10,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",4 out of 5 stars,"Mailbox Peak — June 19, 2024",PugetSoundTrails,"No issues to report! Trail is dry and clear all the way through. Encountered a few runners which is a bit frustrating on a narrow trail but overall a great experience. No snow, no road closures.",hikeable,72,0,0,14,1,11,1,2024-06-19,Trail clear - no snow,Road suitable for all vehicles,Snow free,Some bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",4 out of 5 stars,"Goat Lake — May 26, 2025",PNWPeakBagger,The trail is fully accessible and snow-free. The creek crossing at mile 1.5 is easily fordable with dry boots. Wildflowers in the meadow section were incredible. We'll definitely be back.,hikeable,46,0,0,20,2,19,12,2025-05-26,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",4 out of 5 stars,"Goat Lake — August 26, 2025",WeekendWarriorWendy,Trail is in great shape today! Dry conditions from the TH all the way to the summit. No snow encountered anywhere on the route. Parking lot was about half full when I arrived around 9am. Highly recommend for a weekend outing.,hikeable,51,0,0,12,1,18,3,2025-08-26,Trail clear - no snow,Road suitable for all vehicles,Snow free,Some bugs
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",4 out of 5 stars,"Maple Pass Loop — August 21, 2025",MossyBoots42,"I was nervous about conditions given recent weather but the trail was perfect. Completely clear, great traction even without poles. The logging road to the TH has some potholes but is passable in a regular car.",hikeable,61,0,0,20,1,5,15,2025-08-21,Trail clear - no snow,Road suitable for high clearance,Snow free,Some bugs
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",1 out of 5 stars,"Mount Pilchuck — July 22, 2024",LakesAndPeaks,Not hikeable in current conditions. The upper trail is an avalanche zone right now — we could see recent avalanche debris on the hillside across the valley. Road is open but please don't attempt this trail.,not_hikeable,53,9,0,18,77,49,80,2024-07-22,Trail passable with caution,Road suitable for all vehicles,Snow free,Some bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",3 out of 5 stars,"Lake Ann — April 4, 2024",MossyBoots42,Trail is passable but not summer conditions. There's 1-2 feet of snow from the upper meadows to the top. Microspikes essential. The lower forest section is completely clear and pleasant. A gorgeous but demanding hike right now.,modest_conditions,37,18,1,50,1,21,54,2024-04-04,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",4 out of 5 stars,"Annette Lake — November 4, 2024",CascadeCrest2024,Trail has some patchy snow starting around mile 2.5 near the ridgeline. Lower portions are clear and dry. Microspikes helpful but not required if you're careful. Beautiful conditions overall with just a hint of winter lingering.,modest_conditions,44,16,10,18,61,25,42,2024-11-04,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",5 out of 5 stars,"Annette Lake — February 14, 2024",SnowpackSam,The trail is fully accessible and snow-free. The creek crossing at mile 1.5 is easily fordable with dry boots. Wildflowers in the meadow section were incredible. We'll definitely be back.,hikeable,39,0,0,6,0,19,5,2024-02-14,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",,"Mailbox Peak — August 12, 2025",ClearCreekHiker,DO NOT GO. Fresh snowfall (3+ feet) in the last 48 hours has made this trail completely unnavigable. We couldn't find the trail at all past the parking area. One member of our group postholed to mid-thigh. Turn back.,not_hikeable,62,9,0,13,71,33,95,2025-08-12,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,Some bugs
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",5 out of 5 stars,"Wallace Falls — February 25, 2026",MtBakerFan,"The trail is in the best shape I've seen in years. Completely dry, well-maintained, no blowdowns. Parking area was busy but we found a spot quickly. The views of the Cascades were crystal clear from the top.",hikeable,42,0,0,15,1,19,6,2026-02-25,Obstacles on trail: Trees down,Road suitable for all vehicles,Snow free,No bugs
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",1 out of 5 stars,"Ptarmigan Ridge — March 17, 2024",SnoqualmieSusan,Trail is completely snowed out. We turned back at mile 1 — snow was waist-deep with no visible trail. Conditions are impassable without snowshoes and navigation skills. Road to TH is also icy — use caution or stay home.,not_hikeable,24,46,15,13,85,35,88,2024-03-17,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",3 out of 5 stars,"Heliotrope Ridge — February 8, 2026",SnowpackSam,Hiked this weekend. Trail is accessible but expect some snow in the upper half. The meadow section had about 6 inches of coverage which was manageable. Route finding was easy since the trail was still visible. Great day out.,modest_conditions,20,21,6,30,2,11,25,2026-02-08,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",3 out of 5 stars,"Maple Pass Loop — December 10, 2024",NorthCascadesNick,Some lingering snow on the upper sections. Most of the lower trail is ice-free. There's one tricky icy traverse near the summit block — caution advised without microspikes. Otherwise perfectly enjoyable.,modest_conditions,29,28,4,50,61,27,48,2024-12-10,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",3 out of 5 stars,"Lake Ann — March 20, 2024",WeekendWarriorWendy,Mixed conditions depending on elevation. Lower forest trail is mud and roots — clear of snow. As you gain elevation you start hitting snow patches. By the time you reach the exposed ridge it was continuous snow. Microspikes a must.,modest_conditions,37,5,10,30,61,18,23,2024-03-20,Mud on trail,Road suitable for all vehicles,Patchy snow,No bugs
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",5 out of 5 stars,"Mount Pilchuck — August 20, 2025",WildflowerWatcher,"I was nervous about conditions given recent weather but the trail was perfect. Completely clear, great traction even without poles. The logging road to the TH has some potholes but is passable in a regular car.",hikeable,60,0,0,8,0,19,24,2025-08-20,Trail clear - no snow,Road suitable for high clearance,Snow free,Some bugs
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",4 out of 5 stars,"Mount Pilchuck — July 13, 2024",CascadeCrest2024,"The lower trail is completely clear. Snow starts appearing around 4,000 feet elevation. A few icy patches on shaded north-facing slopes but nothing serious. Trekking poles and microspikes recommended for the upper section.",modest_conditions,51,0,0,37,1,28,28,2024-07-13,Snow on trail,Road suitable for all vehicles,Patchy snow,Some bugs
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",1 out of 5 stars,"Chain Lakes Loop — October 30, 2024",FernGullyHiker,We attempted this trail last weekend and had to bail. The trail was completely buried. A large tree had fallen across the access road and the stream crossing was flooded and uncrossable. Unsafe conditions all around.,not_hikeable,34,7,0,15,71,46,93,2024-10-30,Obstacles on trail: Trees down,Road suitable for all vehicles,Snow free,No bugs
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",5 out of 5 stars,"Annette Lake — June 25, 2025",PNWPeakBagger,"Hiked with my dog off-leash in a few spots — other hikers were friendly and the trail was empty enough to enjoy. Completely snow-free, nice and dry. Would definitely come back next weekend.",hikeable,73,0,0,28,0,14,23,2025-06-25,Trail clear - no snow,Road suitable for all vehicles,Snow free,Some bugs
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",,"Sahale Arm — January 30, 2026",CascadeWanderer,Heavy recent snowfall has completely covered the trail. We couldn't find the route above the TH. No other footprints. The road had a closure sign posted 3 miles before the TH. Save yourself the frustration and wait.,not_hikeable,21,32,18,15,71,47,63,2026-01-30,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",3 out of 5 stars,"Heliotrope Ridge — September 6, 2024",NorthCascadesNick,Trail has some patchy snow starting around mile 2.5 near the ridgeline. Lower portions are clear and dry. Microspikes helpful but not required if you're careful. Beautiful conditions overall with just a hint of winter lingering.,modest_conditions,40,0,0,18,61,15,54,2024-09-06,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",4 out of 5 stars,"Wallace Falls — February 7, 2026",SnoqualmieSusan,Just returned. Trail conditions: excellent. Zero snow. A few muddy sections after last week's rain but nothing requiring special footwear. The wildflowers were absolutely popping near the ridgeline.,hikeable,38,0,0,9,0,10,4,2026-02-07,Mud on trail,Road suitable for all vehicles,Snow free,No bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",3 out of 5 stars,"Heliotrope Ridge — March 28, 2025",WeekendWarriorWendy,Snow begins just past the main viewpoint. Lower sections are clear and pleasant. Some sections of icy trail on the shaded side of the ridge. We managed fine with poles and microspikes. Fewer people than usual.,modest_conditions,39,10,10,10,2,17,27,2025-03-28,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",5 out of 5 stars,"Heliotrope Ridge — July 30, 2025",OlympicPenHiker,Just got back from a wonderful day out here. Trail is completely clear of snow. Wildflowers are starting to come up near the upper meadows. Bring plenty of water as there are limited reliable sources right now.,hikeable,51,0,0,22,1,15,5,2025-07-30,Trail clear - no snow,Road suitable for all vehicles,Snow free,Some bugs
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",4 out of 5 stars,"Maple Pass Loop — February 23, 2024",SnoqualmieSusan,"Conditions are 'mostly hikeable' with the right gear. Trail is clear from TH to the creek. After the creek there are intermittent snow patches, becoming continuous above 4,500 feet. Go prepared with traction devices.",modest_conditions,22,17,8,27,61,15,51,2024-02-23,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",1 out of 5 stars,"Annette Lake — February 20, 2026",CascadeWanderer,Conditions are dangerous. The trail above mile 2 is buried under 6 feet of wind-packed snow. The TH access road had downed trees blocking it — we had to turn around before even starting the hike.,not_hikeable,29,74,16,24,86,49,99,2026-02-20,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,1 out of 5 stars,"Twin Falls — November 14, 2024",AlpineAdventurer,Trail is completely snowed out. We turned back at mile 1 — snow was waist-deep with no visible trail. Conditions are impassable without snowshoes and navigation skills. Road to TH is also icy — use caution or stay home.,not_hikeable,42,59,11,37,75,47,93,2024-11-14,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",5 out of 5 stars,"Mailbox Peak — April 16, 2024",WildflowerWatcher,"Did this hike on a clear sunny weekday. Trail was dry and in excellent condition, no snow whatsoever. Met a trail crew doing some maintenance near mile 3 — give them a wave! Spectacular scenery all the way.",hikeable,52,0,0,29,0,15,5,2024-04-16,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",5 out of 5 stars,"Mailbox Peak — February 12, 2026",SnoqualmieSusan,Perfect early season hike! No snow anywhere. Road is open with no closures. The high meadows are coming alive with early blooms. We lingered at the lake for lunch and saw osprey hunting. 10/10 recommend.,hikeable,47,0,0,8,1,14,23,2026-02-12,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
